Sprint,Epic,Task_ID,Task,Description,Priority,SP,Assignee
Sprint 1,P0: 프로젝트 기반 (Foundation),T1.01,GitHub Repo 생성 및 브랜치 전략 수립,"main, develop, feature 브랜치 규칙 정의 (Git-flow)",P0,3,BE-Infra
Sprint 1,P0: 프로젝트 기반 (Foundation),T1.02,CI/CD 파이프라인 구축,"Vercel(FE), Render(BE) 자동 배포 연동",P0,5,BE-Infra
Sprint 1,P0: 프로젝트 기반 (Foundation),T1.03,MongoDB Atlas 클러스터 생성,"DB 생성, IP 등록, Connection String 발급",P0,3,BE-Infra
Sprint 1,P0: 프로젝트 기반 (Foundation),T1.04,FE: 프로젝트 초기화,"Vite+React+TS, Linter, 폴더 구조",P0,3,FE-A
Sprint 1,P0: 프로젝트 기반 (Foundation),T1.05,BE: 프로젝트 초기화,"Express+TS, Linter, 폴더 구조, DB 연동",P0,3,BE-A
Sprint 1,P0: 프로젝트 기반 (Foundation),T1.06,API 엔드포인트 v1 정의,인증(Auth) API 명세 작성 (Swagger/Notion),P0,2,"BE-A, BE-B"
Sprint 1,P0: 디자인 (PM),T2.01,UI/UX 디자인 (인증),"회원가입, 로그인 페이지 Figma 디자인",P0,-,PM
Sprint 1,P0: 디자인 (PM),T2.02,UI/UX 디자인 (레이아웃),"대시보드/공유 페이지 기본 레이아웃 (GNB, LNB)",P0,-,PM
Sprint 1,P1: 사용자 인증 (BE),T3.01,User 스키마 설계,MongoDB users 컬렉션 스키마 정의,P0,2,BE-Infra
Sprint 1,P1: 사용자 인증 (BE),T3.02,BE: 회원가입 API 개발,POST /api/auth/register (bcrypt 적용),P1,3,BE-A
Sprint 1,P1: 사용자 인증 (BE),T3.03,BE: 로그인 API 개발,POST /api/auth/login (JWT 발급),P1,3,BE-A
Sprint 1,P1: 사용자 인증 (BE),T3.04,BE: 인증 미들웨어 개발,Middleware (Request Header JWT 검증),P1,3,BE-A
Sprint 1,P1: 사용자 인증 (FE),T4.01,공용 컴포넌트 개발 (1/2),"Button, Input 등 공용 UI 컴포넌트",P1,3,FE-B
Sprint 1,P1: 사용자 인증 (FE),T4.02,React Router 설정,react-router-dom 설치 및 라우팅,P1,2,FE-B
Sprint 1,P1: 사용자 인증 (FE),T4.03,FE: 인증 페이지 UI 개발,Figma 기반 로그인/회원가입 UI,P1,3,FE-A
Sprint 1,P1: 사용자 인증 (FE),T4.04,FE: 전역 상태관리 설정,Zustand/Recoil 이용 유저 상태 관리,P1,3,FE-B
Sprint 1,P1: 사용자 인증 (FE),T4.05,FE: API 연동 (회원가입/로그인),Axios 인스턴스 생성 및 인증 API 연동,P1,5,FE-A
Sprint 1,P1: 사용자 인증 (FE),T4.06,FE: Protected Route 구현,대시보드 페이지 보호 로직 구현,P1,3,FE-B
Sprint 1,P2: 스프린트 관리,T5.01,Sprint 1 Review & Retro,"Sprint 1 시연, 회고 및 Sprint 2 계획",P2,-,ALL
Sprint 2,P0: 디자인 (PM),T6.01,UI/UX 디자인 (대시보드),"타임라인, 프로젝트 모달 상세 UI",P0,-,PM
Sprint 2,P0: 디자인 (PM),T6.02,UI/UX 디자인 (공유 페이지),Read-Only 타임라인 상세 UI,P0,-,PM
